antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Product_13176'}),frozenset({'Product_47209'}),0.1700927843423884,0.0984691598651886,0.0291397652982498,0.17131688102414086,1.7398024037037185,1.0,0.012390871724924112,1.0879078136030842,0.5123730410975441,0.12170871316514695,0.08080446937129615,0.2336223580378432
frozenset({'Product_47209'}),frozenset({'Product_13176'}),0.0984691598651886,0.1700927843423884,0.0291397652982498,0.2959278350515455,1.7398024037037183,1.0,0.012390871724924112,1.1787246492245147,0.47166670843085057,0.12170871316514695,0.15162544479077275,0.2336223580378432
frozenset({'Product_47766'}),frozenset({'Product_24852'}),0.0819933406423843,0.2094398424493442,0.0250791813862833,0.30586851553794697,1.4604122690357988,1.0,0.007906509040246923,1.138919895217452,0.3434199998370253,0.09415732906471513,0.12197512380001777,0.21280629809565832
